id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,CIPRO,CEFTRIAXONE,AMOXICILLIN
GENOME_0001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,2,5,2,2,9,4,2,4,3,4,5,2,1,6,0.24,0.65,0.97,0.6,0.38,0.54,0.03,0.49,0.45,0.67,S,S,I
GENOME_0002,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,9,4,5,4,1,3,4,3,0,6,2,0,0,9,9,0.32,0.57,0.84,0.25,0.07,0.93,0.03,0.49,0.23,0.89,S,S,R
GENOME_0003,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,6,5,6,4,2,4,1,3,5,9,5,10,0,3,3,0.33,0.86,0.53,0.47,0.19,0.96,0.29,0.73,0.03,0.73,S,S,S
GENOME_0004,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,3,3,3,2,3,6,3,3,9,10,4,2,2,6,9,0.59,0.84,0.9,0.85,0.41,0.91,0.11,0.37,0.21,0.96,I,I,I
GENOME_0005,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,8,5,7,7,4,6,4,3,5,9,0,4,2,3,6,0.18,0.57,0.77,0.47,0.16,0.8,0.1,0.55,0.05,0.84,S,I,R
GENOME_0006,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,7,3,1,5,3,3,6,0,4,4,6,6,1,5,2,0.23,0.85,0.38,0.21,0.44,0.98,0.13,0.21,0.17,0.92,I,S,S
GENOME_0007,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,9,1,8,9,3,0,2,1,8,5,3,2,0,7,9,0.1,0.59,0.53,0.67,0.73,0.73,0.14,0.46,0.25,0.96,R,I,S
GENOME_0008,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,8,1,5,7,1,4,7,1,3,4,2,8,0,4,8,0.05,0.91,0.1,0.35,0.47,0.72,0.23,0.85,0.24,0.63,S,S,I
GENOME_0009,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,7,2,0,5,2,6,4,3,1,5,0,3,1,7,1,0.21,0.89,0.93,0.08,0.24,0.88,0.15,0.49,0.1,0.69,S,S,S
GENOME_0010,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,4,2,0,6,1,3,3,0,6,3,4,8,1,3,10,0.24,0.9,0.89,0.48,0.39,0.73,0.09,0.64,0.08,0.98,S,R,R
GENOME_0011,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,8,2,7,3,0,6,2,3,4,7,4,2,1,1,2,0.6,0.82,0.4,0.42,0.65,0.87,0.21,0.66,0.25,0.75,R,S,S
GENOME_0012,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,4,2,6,2,2,7,2,0,6,8,1,10,1,8,5,0.09,0.84,0.15,0.26,0.01,0.9,0.17,0.68,0.17,0.94,S,S,S
GENOME_0013,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,7,4,2,8,0,1,2,1,6,5,1,2,2,1,10,0.44,0.82,0.14,0.75,0.31,0.88,0.04,0.28,0.5,0.64,I,I,S
GENOME_0014,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,3,0,7,4,0,1,1,0,6,7,3,3,2,6,5,0.01,0.91,0.39,0.7,0.26,0.83,0.12,0.56,0.21,0.51,S,S,I
GENOME_0015,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,4,2,7,4,1,4,1,1,2,8,1,1,1,5,5,0.35,0.72,0.11,0.46,0.32,0.89,0.08,0.4,0.17,0.95,I,R,S
GENOME_0016,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,10,1,6,7,3,2,2,0,4,5,1,4,0,1,9,0.42,0.96,0.86,0.67,0.06,0.81,0.26,0.81,0.29,0.81,R,S,I
GENOME_0017,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,3,5,4,4,4,3,6,2,0,7,6,8,0,2,7,0.29,0.9,0.4,0.6,0.51,0.97,0.15,0.9,0.03,0.61,S,S,R
GENOME_0018,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,7,8,3,0,1,0,5,10,1,7,0,6,7,0.37,0.83,0.55,0.75,0.21,0.67,0.26,0.73,0.14,0.97,S,S,S
GENOME_0019,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,3,0,4,8,3,10,2,3,3,5,3,7,0,5,5,0.44,0.83,0.8,0.24,0.07,0.79,0.29,0.35,0.01,0.81,S,R,S
GENOME_0020,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,10,4,0,6,2,3,2,2,1,4,0,7,0,5,7,0.51,0.83,0.69,0.44,0.06,0.92,0.2,0.61,0.09,0.96,I,S,S
GENOME_0021,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,4,3,7,2,1,10,5,2,2,10,5,7,1,6,0,0.08,0.81,0.56,0.25,0.04,0.75,0.23,0.67,0.02,0.97,I,S,I
GENOME_0022,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,5,5,6,10,2,3,1,2,2,10,2,5,0,4,6,0.53,0.82,0.36,0.73,0.53,0.87,0.43,0.51,0.53,0.98,S,S,S
GENOME_0023,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,3,5,6,3,4,3,5,2,0,8,0,6,2,0,2,0.18,0.75,0.69,0.69,0.05,0.91,0.35,0.83,0.01,0.98,I,S,S
GENOME_0024,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,10,0,1,5,1,2,6,2,6,10,5,10,2,4,2,0.23,0.8,0.81,0.26,0.43,0.59,0.13,0.59,0.01,0.81,R,S,I
GENOME_0025,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,9,4,2,3,3,1,6,2,9,4,5,9,0,8,8,0.25,0.73,0.57,0.34,0.42,0.84,0.24,0.34,0.2,0.93,S,I,R
GENOME_0026,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,3,4,2,2,0,3,2,2,2,3,0,4,2,1,0,0.29,0.42,0.89,0.75,0.28,0.81,0.49,0.33,0.15,0.98,S,S,I
GENOME_0027,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,4,5,2,3,7,2,0,6,4,0,5,1,9,8,0.28,0.57,0.16,0.32,0.31,0.95,0.14,0.46,0.06,0.75,S,S,S
GENOME_0028,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,6,2,5,2,3,2,5,3,9,10,4,2,0,2,4,0.82,0.92,0.07,0.33,0.05,0.86,0.09,0.15,0.12,0.78,S,S,I
GENOME_0029,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,6,5,2,8,1,5,3,0,9,10,6,4,1,1,8,0.12,0.74,0.98,0.32,0.2,0.95,0.31,0.53,0.24,0.96,S,S,S
GENOME_0030,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,3,3,4,10,3,1,2,2,8,9,2,9,2,4,0,0.22,0.9,0.48,0.33,0.73,0.81,0.22,0.26,0.01,0.95,I,I,R
GENOME_0031,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,4,2,8,2,4,0,6,2,5,6,2,2,0,4,5,0.23,0.89,0.23,0.47,0.04,0.92,0.16,0.48,0.04,0.89,S,I,I
GENOME_0032,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,2,1,6,7,3,6,6,2,7,3,4,4,1,4,0,0.3,0.59,0.41,0.75,0.48,0.85,0.15,0.71,0.17,0.79,S,S,S
GENOME_0033,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,4,3,8,6,0,5,1,0,10,4,5,9,1,5,0,0.05,0.67,0.42,0.68,0.09,0.82,0.1,0.61,0.21,0.92,R,S,S
